name,current_version,latest_version,security_issues
@aws-sdk/client-sts,3.529.1,Unknown,No
@aws-sdk/credential-provider-env,3.357.0,Unknown,No
@aws-sdk/credential-provider-node,3.360.0,Unknown,No
@aws-sdk/credential-provider-process,3.357.0,Unknown,No
@aws-sdk/credential-provider-sso,3.360.0,Unknown,No
@aws-sdk/credential-provider-web-identity,3.357.0,Unknown,No
@aws-sdk/middleware-host-header,3.523.0,Unknown,No
@aws-sdk/middleware-logger,3.523.0,Unknown,No
@aws-sdk/middleware-recursion-detection,3.523.0,Unknown,No
@aws-sdk/middleware-signing,3.357.0,Unknown,No
@aws-sdk/middleware-user-agent,3.525.0,Unknown,No
@aws-sdk/region-config-resolver,3.525.0,Unknown,No
@aws-sdk/types,3.357.0,Unknown,No
@aws-sdk/util-endpoints,3.525.0,Unknown,No
@aws-sdk/util-user-agent-browser,3.523.0,Unknown,No
@aws-sdk/util-user-agent-node,3.525.0,Unknown,No
@babel/code-frame,7.16.7,Unknown,No
@babel/generator,7.17.9,Unknown,No
@babel/helper-define-polyfill-provider,0.3.1,Unknown,No
@babel/helper-plugin-utils,7.16.7,Unknown,No
@babel/helper-validator-identifier,7.16.7,Unknown,No
@babel/parser,7.17.9,Unknown,No
@babel/plugin-proposal-object-rest-spread,7.17.3,Unknown,No
@babel/plugin-syntax-jsx,7.12.1,Unknown,No
@babel/types,7.17.0,Unknown,No
@colors/colors,1.5.0,Unknown,No
@jest/transform,27.5.1,Unknown,No
@jest/types,27.5.1,Unknown,No
@nodelib/fs.stat,2.0.5,Unknown,No
@oclif/command,1.8.16,Unknown,No
@oclif/config,1.18.3,Unknown,No
@sentry/core,7.106.0,Unknown,No
@sentry/hub,6.13.3,Unknown,No
@sentry/minimal,6.13.3,Unknown,No
@sentry/types,6.13.3,Unknown,No
@sentry/utils,6.13.3,Unknown,No
@smithy/abort-controller,2.1.4,Unknown,No
@smithy/config-resolver,2.1.5,Unknown,No
@smithy/credential-provider-imds,2.0.18,Unknown,No
@smithy/eventstream-codec,2.1.4,Unknown,No
@smithy/fetch-http-handler,2.4.4,Unknown,No
@smithy/hash-node,2.1.4,Unknown,No
@smithy/invalid-dependency,2.1.4,Unknown,No
@smithy/is-array-buffer,2.1.1,Unknown,No
@smithy/middleware-content-length,2.1.4,Unknown,No
@smithy/middleware-endpoint,2.4.6,Unknown,No
@smithy/middleware-retry,2.1.6,Unknown,No
@smithy/middleware-serde,2.2.1,Unknown,No
@smithy/middleware-stack,2.1.4,Unknown,No
@smithy/node-config-provider,2.2.5,Unknown,No
@smithy/node-http-handler,2.4.2,Unknown,No
@smithy/property-provider,2.1.4,Unknown,No
@smithy/protocol-http,3.2.2,Unknown,No
@smithy/querystring-builder,2.0.12,Unknown,No
@smithy/service-error-classification,2.0.5,Unknown,No
@smithy/shared-ini-file-loader,2.2.2,Unknown,No
@smithy/signature-v4,2.1.4,Unknown,No
@smithy/smithy-client,2.4.4,Unknown,No
@smithy/types,2.11.0,Unknown,No
@smithy/url-parser,2.1.4,Unknown,No
@smithy/util-base64,2.2.0,Unknown,No
@smithy/util-body-length-browser,2.1.1,Unknown,No
@smithy/util-body-length-node,2.2.1,Unknown,No
@smithy/util-buffer-from,2.0.0,Unknown,No
@smithy/util-config-provider,2.2.1,Unknown,No
@smithy/util-defaults-mode-browser,2.1.6,Unknown,No
@smithy/util-defaults-mode-node,2.2.6,Unknown,No
@smithy/util-hex-encoding,2.0.0,Unknown,No
@smithy/util-middleware,2.1.4,Unknown,No
@smithy/util-retry,2.1.4,Unknown,No
@smithy/util-stream,2.1.4,Unknown,No
@smithy/util-uri-escape,2.0.0,Unknown,No
